A new study created in memory with name: no-name-a33eba91-13aa-4f10-b8f2-744f56c4113b
Start optimization.
Trial 0 finished with value: 0.5703496914487217 and parameters: {'n_estimators': 261, 'learning_rate': 0.15318822100312696, 'max_depth': 8, 'subsample': 0.6627759251822026, 'colsample_bytree': 0.5444189522442642, 'min_child_weight': 9}. Best is trial 0 with value: 0.5703496914487217.
Trial 202 finished with value: 0.655362915074934 and parameters: {'n_estimators': 117, 'learning_rate': 0.08695402521737473, 'max_depth': 2, 'subsample': 0.8448405451762442, 'colsample_bytree': 0.7568567907266724, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 203 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 107, 'learning_rate': 0.08153015962687173, 'max_depth': 2, 'subsample': 0.8219771656592227, 'colsample_bytree': 0.9524467872070518, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 204 finished with value: 0.6481046135762563 and parameters: {'n_estimators': 111, 'learning_rate': 0.08988196423608434, 'max_depth': 2, 'subsample': 0.8086132304108182, 'colsample_bytree': 0.9223194452006811, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 205 finished with value: 0.657801939465178 and parameters: {'n_estimators': 124, 'learning_rate': 0.08463665369875961, 'max_depth': 2, 'subsample': 0.8306044413925653, 'colsample_bytree': 0.97406377318954, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 206 finished with value: 0.6506024096385541 and parameters: {'n_estimators': 117, 'learning_rate': 0.07392970083339975, 'max_depth': 2, 'subsample': 0.8685791012776041, 'colsample_bytree': 0.9003975673992953, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 207 finished with value: 0.6286218042903322 and parameters: {'n_estimators': 106, 'learning_rate': 0.07886011075105577, 'max_depth': 2, 'subsample': 0.5201193794340616, 'colsample_bytree': 0.9315471624106556, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 208 finished with value: 0.6505730238025272 and parameters: {'n_estimators': 104, 'learning_rate': 0.09158457116070964, 'max_depth': 2, 'subsample': 0.8490270109275415, 'colsample_bytree': 0.7135280102474896, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 209 finished with value: 0.6699382897443433 and parameters: {'n_estimators': 112, 'learning_rate': 0.08285824699612526, 'max_depth': 2, 'subsample': 0.7838624971273734, 'colsample_bytree': 0.9578728656265317, 'min_child_weight': 1}. Best is trial 209 with value: 0.6699382897443433.
Trial 210 finished with value: 0.6577725536291508 and parameters: {'n_estimators': 112, 'learning_rate': 0.08263989349747636, 'max_depth': 2, 'subsample': 0.7894756318691095, 'colsample_bytree': 0.9990693166206339, 'min_child_weight': 1}. Best is trial 209 with value: 0.6699382897443433.
Trial 211 finished with value: 0.6553923009109609 and parameters: {'n_estimators': 119, 'learning_rate': 0.08836731890810044, 'max_depth': 2, 'subsample': 0.8141840277642854, 'colsample_bytree': 0.5219531950560502, 'min_child_weight': 1}. Best is trial 209 with value: 0.6699382897443433.
Trial 212 finished with value: 0.6238025271818983 and parameters: {'n_estimators': 110, 'learning_rate': 0.08032350982275294, 'max_depth': 2, 'subsample': 0.5800855860097585, 'colsample_bytree': 0.9606202520691295, 'min_child_weight': 1}. Best is trial 209 with value: 0.6699382897443433.
Trial 213 finished with value: 0.6602409638554219 and parameters: {'n_estimators': 115, 'learning_rate': 0.08487742127121764, 'max_depth': 2, 'subsample': 0.8314947584804167, 'colsample_bytree': 0.9518852431409688, 'min_child_weight': 1}. Best is trial 209 with value: 0.6699382897443433.
Trial 214 finished with value: 0.6723773141345871 and parameters: {'n_estimators': 214, 'learning_rate': 0.08413767421235069, 'max_depth': 2, 'subsample': 0.8509639676276632, 'colsample_bytree': 0.9536060098203626, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 215 finished with value: 0.6651483984719364 and parameters: {'n_estimators': 114, 'learning_rate': 0.08374069378282253, 'max_depth': 2, 'subsample': 0.846014106858633, 'colsample_bytree': 0.9799417398859681, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 216 finished with value: 0.655392300910961 and parameters: {'n_estimators': 239, 'learning_rate': 0.07813472540447411, 'max_depth': 2, 'subsample': 0.8632231798294178, 'colsample_bytree': 0.985632038343163, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 217 finished with value: 0.6529532765207171 and parameters: {'n_estimators': 222, 'learning_rate': 0.085047841806021, 'max_depth': 2, 'subsample': 0.8445139578234425, 'colsample_bytree': 0.9688137834847729, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 218 finished with value: 0.6384366735233618 and parameters: {'n_estimators': 208, 'learning_rate': 0.08157160955703263, 'max_depth': 2, 'subsample': 0.8787259224082015, 'colsample_bytree': 0.9528151395154026, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 219 finished with value: 0.6578607111372318 and parameters: {'n_estimators': 115, 'learning_rate': 0.07493424068271846, 'max_depth': 2, 'subsample': 0.8515999546516213, 'colsample_bytree': 0.9812651654109216, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 220 finished with value: 0.6578607111372318 and parameters: {'n_estimators': 226, 'learning_rate': 0.08339947634291305, 'max_depth': 2, 'subsample': 0.8070479715374987, 'colsample_bytree': 0.3671870562801618, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 221 finished with value: 0.655421686746988 and parameters: {'n_estimators': 114, 'learning_rate': 0.07884723153644073, 'max_depth': 2, 'subsample': 0.8352753338502085, 'colsample_bytree': 0.9563679647479502, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 222 finished with value: 0.6530120481927713 and parameters: {'n_estimators': 108, 'learning_rate': 0.08538684172138952, 'max_depth': 2, 'subsample': 0.8368665418656087, 'colsample_bytree': 0.7773839107376597, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 223 finished with value: 0.6529826623567441 and parameters: {'n_estimators': 104, 'learning_rate': 0.0921573082216631, 'max_depth': 2, 'subsample': 0.8566689109337777, 'colsample_bytree': 0.7968091666190634, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 224 finished with value: 0.6577725536291508 and parameters: {'n_estimators': 111, 'learning_rate': 0.08801247064069237, 'max_depth': 2, 'subsample': 0.8005741699501753, 'colsample_bytree': 0.9370359563958212, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 225 finished with value: 0.6480458419042022 and parameters: {'n_estimators': 116, 'learning_rate': 0.08222624635839386, 'max_depth': 2, 'subsample': 0.8709828884201553, 'colsample_bytree': 0.9670729942052674, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 226 finished with value: 0.6456949750220394 and parameters: {'n_estimators': 123, 'learning_rate': 0.09391776723829337, 'max_depth': 2, 'subsample': 0.8307861313552942, 'colsample_bytree': 0.916874789034813, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 227 finished with value: 0.6601528063473406 and parameters: {'n_estimators': 199, 'learning_rate': 0.07660634963818418, 'max_depth': 2, 'subsample': 0.8177147950534438, 'colsample_bytree': 0.9862480184747476, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 228 finished with value: 0.6626799882456655 and parameters: {'n_estimators': 186, 'learning_rate': 0.08589403909467482, 'max_depth': 2, 'subsample': 0.8501564349188815, 'colsample_bytree': 0.6987403867235618, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 229 finished with value: 0.6505142521304731 and parameters: {'n_estimators': 193, 'learning_rate': 0.07317463477888024, 'max_depth': 2, 'subsample': 0.8985640028758486, 'colsample_bytree': 0.6296535092109615, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 230 finished with value: 0.6091977666764621 and parameters: {'n_estimators': 280, 'learning_rate': 0.08597092198907745, 'max_depth': 2, 'subsample': 0.48414257071500644, 'colsample_bytree': 0.5992839384153662, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 231 finished with value: 0.6626799882456655 and parameters: {'n_estimators': 243, 'learning_rate': 0.0811903854116174, 'max_depth': 2, 'subsample': 0.8488723887125549, 'colsample_bytree': 0.9463346655186297, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 232 finished with value: 0.6602997355274758 and parameters: {'n_estimators': 233, 'learning_rate': 0.080716374622871, 'max_depth': 2, 'subsample': 0.8467657169242745, 'colsample_bytree': 0.6865285195752111, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 233 finished with value: 0.655421686746988 and parameters: {'n_estimators': 219, 'learning_rate': 0.08169185851017212, 'max_depth': 2, 'subsample': 0.8554050070633444, 'colsample_bytree': 0.6980533822048683, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 234 finished with value: 0.6383191301792537 and parameters: {'n_estimators': 263, 'learning_rate': 0.07731824294597678, 'max_depth': 2, 'subsample': 0.8823436484907455, 'colsample_bytree': 0.6534507296442993, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 235 finished with value: 0.6650602409638555 and parameters: {'n_estimators': 245, 'learning_rate': 0.07962484514965902, 'max_depth': 2, 'subsample': 0.8449358627224456, 'colsample_bytree': 0.6768001482269765, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 236 finished with value: 0.6529532765207171 and parameters: {'n_estimators': 245, 'learning_rate': 0.08015543788884938, 'max_depth': 2, 'subsample': 0.8684829458873091, 'colsample_bytree': 0.7521829704735316, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 237 finished with value: 0.6650308551278284 and parameters: {'n_estimators': 243, 'learning_rate': 0.08436686034980431, 'max_depth': 2, 'subsample': 0.8485976709694677, 'colsample_bytree': 0.6699104494806398, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 238 finished with value: 0.6456362033499854 and parameters: {'n_estimators': 249, 'learning_rate': 0.07929483088583214, 'max_depth': 2, 'subsample': 0.8545486967946753, 'colsample_bytree': 0.6709114351640797, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 239 finished with value: 0.6529238906846901 and parameters: {'n_estimators': 234, 'learning_rate': 0.07500878270741776, 'max_depth': 2, 'subsample': 0.848210928581661, 'colsample_bytree': 0.6856874183869178, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 240 finished with value: 0.6431971789597415 and parameters: {'n_estimators': 240, 'learning_rate': 0.08365980760139756, 'max_depth': 2, 'subsample': 0.8834325929680835, 'colsample_bytree': 0.6776767321361176, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 241 finished with value: 0.6577431677931237 and parameters: {'n_estimators': 232, 'learning_rate': 0.08738038404654731, 'max_depth': 2, 'subsample': 0.841709982576023, 'colsample_bytree': 0.7014985642988655, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 242 finished with value: 0.5896561857184837 and parameters: {'n_estimators': 249, 'learning_rate': 0.08350415248709614, 'max_depth': 2, 'subsample': 0.8645885907675329, 'colsample_bytree': 0.7315270651694389, 'min_child_weight': 4}. Best is trial 214 with value: 0.6723773141345871.
Trial 243 finished with value: 0.6577137819570966 and parameters: {'n_estimators': 248, 'learning_rate': 0.08048147743484152, 'max_depth': 2, 'subsample': 0.8154477217975795, 'colsample_bytree': 0.9618963474167753, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 244 finished with value: 0.6481046135762563 and parameters: {'n_estimators': 215, 'learning_rate': 0.08536980170531673, 'max_depth': 2, 'subsample': 0.8401711521282275, 'colsample_bytree': 0.6479560195040892, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 245 finished with value: 0.584866294446077 and parameters: {'n_estimators': 252, 'learning_rate': 0.08893758504457494, 'max_depth': 2, 'subsample': 0.2803508222629807, 'colsample_bytree': 0.6784276801228406, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 246 finished with value: 0.6504848662944461 and parameters: {'n_estimators': 228, 'learning_rate': 0.07831990644199069, 'max_depth': 2, 'subsample': 0.7993049764170234, 'colsample_bytree': 0.6017422290565779, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 247 finished with value: 0.6626799882456658 and parameters: {'n_estimators': 241, 'learning_rate': 0.083078205350393, 'max_depth': 2, 'subsample': 0.8272392066546759, 'colsample_bytree': 0.5777370702514208, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 248 finished with value: 0.6480458419042023 and parameters: {'n_estimators': 244, 'learning_rate': 0.0823798565642699, 'max_depth': 2, 'subsample': 0.8662954730176199, 'colsample_bytree': 0.6374949435946525, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 249 finished with value: 0.6261533940640611 and parameters: {'n_estimators': 256, 'learning_rate': 0.07229207796380234, 'max_depth': 2, 'subsample': 0.5540178674558349, 'colsample_bytree': 0.5867019910739966, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 250 finished with value: 0.6577725536291508 and parameters: {'n_estimators': 238, 'learning_rate': 0.07717562832669787, 'max_depth': 2, 'subsample': 0.8479564776192107, 'colsample_bytree': 0.5738902205138109, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 251 finished with value: 0.6529238906846899 and parameters: {'n_estimators': 244, 'learning_rate': 0.0895600113195038, 'max_depth': 2, 'subsample': 0.8140327249799336, 'colsample_bytree': 0.6632560477527876, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 252 finished with value: 0.6553335292389069 and parameters: {'n_estimators': 232, 'learning_rate': 0.08201216069088471, 'max_depth': 2, 'subsample': 0.7835712225095132, 'colsample_bytree': 0.6971531029083367, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 253 finished with value: 0.655392300910961 and parameters: {'n_estimators': 241, 'learning_rate': 0.08634675822979881, 'max_depth': 2, 'subsample': 0.8286904869961581, 'colsample_bytree': 0.6173492140730036, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 254 finished with value: 0.6408169262415516 and parameters: {'n_estimators': 236, 'learning_rate': 0.08009363833512888, 'max_depth': 2, 'subsample': 0.8952206471955227, 'colsample_bytree': 0.630257039668461, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 255 finished with value: 0.6626212165736115 and parameters: {'n_estimators': 237, 'learning_rate': 0.09619523346533083, 'max_depth': 2, 'subsample': 0.8511932691015173, 'colsample_bytree': 0.7219336541885798, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 256 finished with value: 0.652865119012636 and parameters: {'n_estimators': 243, 'learning_rate': 0.09759337595466111, 'max_depth': 2, 'subsample': 0.8761615664675998, 'colsample_bytree': 0.7104930918491444, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 257 finished with value: 0.6625330590655305 and parameters: {'n_estimators': 230, 'learning_rate': 0.09410735254634321, 'max_depth': 2, 'subsample': 0.8568684714309662, 'colsample_bytree': 0.7083572928080348, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 258 finished with value: 0.655421686746988 and parameters: {'n_estimators': 228, 'learning_rate': 0.09274898011206861, 'max_depth': 2, 'subsample': 0.854495357424653, 'colsample_bytree': 0.7119900479512536, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 259 finished with value: 0.6407287687334705 and parameters: {'n_estimators': 236, 'learning_rate': 0.09633737559202661, 'max_depth': 2, 'subsample': 0.638355473209101, 'colsample_bytree': 0.73311645342473, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 260 finished with value: 0.5994416691154864 and parameters: {'n_estimators': 231, 'learning_rate': 0.08927742532866575, 'max_depth': 8, 'subsample': 0.7671034913888283, 'colsample_bytree': 0.6603221021626724, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 261 finished with value: 0.6553041434028799 and parameters: {'n_estimators': 257, 'learning_rate': 0.09214258648915441, 'max_depth': 2, 'subsample': 0.8048540680623724, 'colsample_bytree': 0.6801099001398676, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 262 finished with value: 0.6237437555098443 and parameters: {'n_estimators': 240, 'learning_rate': 0.09882440588455967, 'max_depth': 3, 'subsample': 0.8430552740494324, 'colsample_bytree': 0.7351245308389466, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 263 finished with value: 0.6382897443432267 and parameters: {'n_estimators': 246, 'learning_rate': 0.09558353472775516, 'max_depth': 2, 'subsample': 0.9247441969593045, 'colsample_bytree': 0.6920154071844075, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 264 finished with value: 0.6553923009109609 and parameters: {'n_estimators': 183, 'learning_rate': 0.08890345046920942, 'max_depth': 2, 'subsample': 0.8740236870716583, 'colsample_bytree': 0.7135802099588502, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 265 finished with value: 0.6286218042903321 and parameters: {'n_estimators': 238, 'learning_rate': 0.07564057328524172, 'max_depth': 2, 'subsample': 0.5976236699054809, 'colsample_bytree': 0.5642435795028923, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 266 finished with value: 0.6650602409638555 and parameters: {'n_estimators': 233, 'learning_rate': 0.08030867697782423, 'max_depth': 2, 'subsample': 0.8190617872686453, 'colsample_bytree': 0.7574141209683505, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 267 finished with value: 0.6601821921833677 and parameters: {'n_estimators': 243, 'learning_rate': 0.07197526478709386, 'max_depth': 2, 'subsample': 0.7863330037518426, 'colsample_bytree': 0.7215873241408456, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 268 finished with value: 0.6626212165736115 and parameters: {'n_estimators': 207, 'learning_rate': 0.08637820391712595, 'max_depth': 2, 'subsample': 0.8241811982855314, 'colsample_bytree': 0.996995507328368, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 269 finished with value: 0.6552453717308258 and parameters: {'n_estimators': 205, 'learning_rate': 0.08529272955500723, 'max_depth': 2, 'subsample': 0.8133708609569671, 'colsample_bytree': 0.9955126575343128, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 270 finished with value: 0.6553041434028799 and parameters: {'n_estimators': 201, 'learning_rate': 0.07794889149359967, 'max_depth': 2, 'subsample': 0.8206710874895965, 'colsample_bytree': 0.9744820024259611, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 271 finished with value: 0.5775492212753452 and parameters: {'n_estimators': 191, 'learning_rate': 0.3410469573649153, 'max_depth': 2, 'subsample': 0.7936436298360291, 'colsample_bytree': 0.9797653517997511, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 272 finished with value: 0.6067587422862181 and parameters: {'n_estimators': 173, 'learning_rate': 0.08439365760991958, 'max_depth': 2, 'subsample': 0.8256020645698396, 'colsample_bytree': 0.9949534525643355, 'min_child_weight': 5}. Best is trial 214 with value: 0.6723773141345871.
Trial 273 finished with value: 0.6480164560681752 and parameters: {'n_estimators': 214, 'learning_rate': 0.08103523276524013, 'max_depth': 2, 'subsample': 0.8051200864625139, 'colsample_bytree': 0.9694204427504793, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 274 finished with value: 0.6578313253012048 and parameters: {'n_estimators': 188, 'learning_rate': 0.0542711923065798, 'max_depth': 2, 'subsample': 0.8376300050946295, 'colsample_bytree': 0.9496200171597041, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 275 finished with value: 0.6455480458419043 and parameters: {'n_estimators': 248, 'learning_rate': 0.10119195713192611, 'max_depth': 2, 'subsample': 0.7640948040519914, 'colsample_bytree': 0.9983425796076503, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 276 finished with value: 0.5800764031736703 and parameters: {'n_estimators': 211, 'learning_rate': 0.0870481000674884, 'max_depth': 3, 'subsample': 0.718994454742794, 'colsample_bytree': 0.5452814108911007, 'min_child_weight': 6}. Best is trial 214 with value: 0.6723773141345871.
Trial 277 finished with value: 0.5605348222156921 and parameters: {'n_estimators': 237, 'learning_rate': 0.09047142792314032, 'max_depth': 2, 'subsample': 0.14652648740637475, 'colsample_bytree': 0.8479852194216515, 'min_child_weight': 10}. Best is trial 214 with value: 0.6723773141345871.
Trial 278 finished with value: 0.5824860417278872 and parameters: {'n_estimators': 224, 'learning_rate': 0.08289095816837316, 'max_depth': 7, 'subsample': 0.4325987924601449, 'colsample_bytree': 0.9295276575997696, 'min_child_weight': 7}. Best is trial 214 with value: 0.6723773141345871.
Trial 279 finished with value: 0.6262121657361153 and parameters: {'n_estimators': 252, 'learning_rate': 0.07509002172424742, 'max_depth': 2, 'subsample': 0.8987635248343862, 'colsample_bytree': 0.6167357388220204, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 280 finished with value: 0.6140758154569498 and parameters: {'n_estimators': 242, 'learning_rate': 0.0781153350354286, 'max_depth': 10, 'subsample': 0.8215943530869945, 'colsample_bytree': 0.786641276708486, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 281 finished with value: 0.6578313253012048 and parameters: {'n_estimators': 108, 'learning_rate': 0.08683773212326965, 'max_depth': 2, 'subsample': 0.7836470102996762, 'colsample_bytree': 0.9711929987888932, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 282 finished with value: 0.6650308551278284 and parameters: {'n_estimators': 220, 'learning_rate': 0.08063297693968677, 'max_depth': 2, 'subsample': 0.869613747860114, 'colsample_bytree': 0.7669026480644442, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 283 finished with value: 0.6432853364678225 and parameters: {'n_estimators': 120, 'learning_rate': 0.08062810773461739, 'max_depth': 2, 'subsample': 0.8665128291069241, 'colsample_bytree': 0.7625292920213881, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 284 finished with value: 0.6432265647957685 and parameters: {'n_estimators': 106, 'learning_rate': 0.07728448402925402, 'max_depth': 2, 'subsample': 0.9092565093904612, 'colsample_bytree': 0.7413893954199333, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 285 finished with value: 0.6504260946223921 and parameters: {'n_estimators': 220, 'learning_rate': 0.10156320540342675, 'max_depth': 2, 'subsample': 0.8852656113958163, 'colsample_bytree': 0.768161518236833, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 286 finished with value: 0.6432853364678225 and parameters: {'n_estimators': 101, 'learning_rate': 0.08287420629175805, 'max_depth': 3, 'subsample': 0.8622627036750332, 'colsample_bytree': 0.7764812656240541, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 287 finished with value: 0.652865119012636 and parameters: {'n_estimators': 247, 'learning_rate': 0.07923739922559857, 'max_depth': 2, 'subsample': 0.8411723683094242, 'colsample_bytree': 0.8665466141298733, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 288 finished with value: 0.6456949750220394 and parameters: {'n_estimators': 110, 'learning_rate': 0.07122440149394327, 'max_depth': 2, 'subsample': 0.8796310943139268, 'colsample_bytree': 0.7391823118681317, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 289 finished with value: 0.6552747575668528 and parameters: {'n_estimators': 263, 'learning_rate': 0.07429322649313454, 'max_depth': 2, 'subsample': 0.8024280756837099, 'colsample_bytree': 0.8293169265583304, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 290 finished with value: 0.6334410813987659 and parameters: {'n_estimators': 235, 'learning_rate': 0.08339027215053203, 'max_depth': 2, 'subsample': 0.6578511093658475, 'colsample_bytree': 0.5847498410150369, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 291 finished with value: 0.6529532765207171 and parameters: {'n_estimators': 163, 'learning_rate': 0.09064945401852123, 'max_depth': 2, 'subsample': 0.9748227354229057, 'colsample_bytree': 0.7975535132985815, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 292 finished with value: 0.6578313253012049 and parameters: {'n_estimators': 118, 'learning_rate': 0.06867148284116913, 'max_depth': 2, 'subsample': 0.8469427133415158, 'colsample_bytree': 0.9525328551626573, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 293 finished with value: 0.6359682632970909 and parameters: {'n_estimators': 96, 'learning_rate': 0.09541301426882748, 'max_depth': 2, 'subsample': 0.749513745202389, 'colsample_bytree': 0.6638672473742712, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 294 finished with value: 0.5995004407875404 and parameters: {'n_estimators': 103, 'learning_rate': 0.08028704705070788, 'max_depth': 3, 'subsample': 0.9180441949339644, 'colsample_bytree': 0.927787207042579, 'min_child_weight': 3}. Best is trial 214 with value: 0.6723773141345871.
Trial 295 finished with value: 0.6238025271818983 and parameters: {'n_estimators': 217, 'learning_rate': 0.09946836976569742, 'max_depth': 2, 'subsample': 0.8605470986718519, 'colsample_bytree': 0.6405044961521369, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
Trial 296 finished with value: 0.6602409638554217 and parameters: {'n_estimators': 110, 'learning_rate': 0.0764439484508542, 'max_depth': 2, 'subsample': 0.8098246116182345, 'colsample_bytree': 0.754705053452631, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 297 finished with value: 0.6576843961210697 and parameters: {'n_estimators': 243, 'learning_rate': 0.10719175648868522, 'max_depth': 2, 'subsample': 0.830237823297924, 'colsample_bytree': 0.9508916605642956, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 298 finished with value: 0.6333529238906848 and parameters: {'n_estimators': 224, 'learning_rate': 0.20184520329439193, 'max_depth': 2, 'subsample': 0.8898861450967684, 'colsample_bytree': 0.8156188891276634, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 299 finished with value: 0.6674992653540994 and parameters: {'n_estimators': 125, 'learning_rate': 0.0888285786273686, 'max_depth': 2, 'subsample': 0.8455666303503725, 'colsample_bytree': 0.9327154009718884, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 300 finished with value: 0.655392300910961 and parameters: {'n_estimators': 125, 'learning_rate': 0.08709366667391591, 'max_depth': 2, 'subsample': 0.835965945973207, 'colsample_bytree': 0.9145274602543112, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 301 finished with value: 0.655421686746988 and parameters: {'n_estimators': 119, 'learning_rate': 0.08408263619738336, 'max_depth': 2, 'subsample': 0.7773084876199502, 'colsample_bytree': 0.9336910144058764, 'min_child_weight': 1}. Best is trial 214 with value: 0.6723773141345871.
Trial 302 finished with value: 0.6310902145166031 and parameters: {'n_estimators': 128, 'learning_rate': 0.08986216872269313, 'max_depth': 2, 'subsample': 0.6206338727866556, 'colsample_bytree': 0.9605921648578604, 'min_child_weight': 2}. Best is trial 214 with value: 0.6723773141345871.
