A new study created in memory with name: no-name-766e1d2f-73fa-47ed-9622-e06157c0b22c
Start optimization.
Trial 0 finished with value: 0.5751190476190475 and parameters: {'learning_rate': 0.07209173395251434, 'max_depth': 8, 'subsample': 0.4518946352650511, 'colsample_bytree': 0.41836847517184717, 'min_child_weight': 12}. Best is trial 0 with value: 0.5751190476190475.
Trial 222 finished with value: 0.6746428571428571 and parameters: {'learning_rate': 0.005132727457732996, 'max_depth': 2, 'subsample': 0.9798847523191258, 'colsample_bytree': 0.5035056065650088, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 223 finished with value: 0.6095238095238095 and parameters: {'learning_rate': 0.004829081927461209, 'max_depth': 2, 'subsample': 0.3192460072560069, 'colsample_bytree': 0.5241432622826073, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 224 finished with value: 0.6722619047619047 and parameters: {'learning_rate': 0.005122279031190885, 'max_depth': 2, 'subsample': 0.9837974789066035, 'colsample_bytree': 0.5071622766386706, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 225 finished with value: 0.6652380952380951 and parameters: {'learning_rate': 0.0064563812283993435, 'max_depth': 2, 'subsample': 0.9798761587957217, 'colsample_bytree': 0.5041932380986528, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 226 finished with value: 0.6041666666666667 and parameters: {'learning_rate': 0.003840202858771664, 'max_depth': 1, 'subsample': 0.9786618111600583, 'colsample_bytree': 0.5761035410388716, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 227 finished with value: 0.6507142857142857 and parameters: {'learning_rate': 0.004549323105018361, 'max_depth': 2, 'subsample': 0.9870243380100079, 'colsample_bytree': 0.6195054277942356, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 228 finished with value: 0.6048809523809524 and parameters: {'learning_rate': 0.005330222998964735, 'max_depth': 2, 'subsample': 0.9437766903791475, 'colsample_bytree': 0.5359918176518308, 'min_child_weight': 10}. Best is trial 182 with value: 0.6771428571428572.
Trial 229 finished with value: 0.6652380952380952 and parameters: {'learning_rate': 0.006127493341113685, 'max_depth': 2, 'subsample': 0.9988879101091375, 'colsample_bytree': 0.5517883457800186, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 230 finished with value: 0.6698809523809524 and parameters: {'learning_rate': 0.0049580086496273474, 'max_depth': 2, 'subsample': 0.9822953332135176, 'colsample_bytree': 0.49678524883822606, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 231 finished with value: 0.67 and parameters: {'learning_rate': 0.005148188386218988, 'max_depth': 2, 'subsample': 0.9638554153949936, 'colsample_bytree': 0.518260370422149, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 232 finished with value: 0.6652380952380951 and parameters: {'learning_rate': 0.0043450817386492995, 'max_depth': 2, 'subsample': 0.9641573686096306, 'colsample_bytree': 0.5322300414842205, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 233 finished with value: 0.6701190476190475 and parameters: {'learning_rate': 0.005594773078971262, 'max_depth': 2, 'subsample': 0.9982273387557002, 'colsample_bytree': 0.5043067151546654, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 234 finished with value: 0.6360714285714285 and parameters: {'learning_rate': 0.005773647062703856, 'max_depth': 2, 'subsample': 0.9979166961542428, 'colsample_bytree': 0.5022786492786152, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 235 finished with value: 0.6747619047619048 and parameters: {'learning_rate': 0.004753093676740519, 'max_depth': 2, 'subsample': 0.9819622511437522, 'colsample_bytree': 0.5701243534790296, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 236 finished with value: 0.6652380952380952 and parameters: {'learning_rate': 0.005733384516892275, 'max_depth': 2, 'subsample': 0.9465361406810138, 'colsample_bytree': 0.5794025304996975, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 237 finished with value: 0.6457142857142857 and parameters: {'learning_rate': 0.0049154260743422655, 'max_depth': 2, 'subsample': 0.9777483250578829, 'colsample_bytree': 0.5660918159523316, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 238 finished with value: 0.6676190476190476 and parameters: {'learning_rate': 0.005440688499667782, 'max_depth': 2, 'subsample': 0.980395980112273, 'colsample_bytree': 0.549125815263841, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 239 finished with value: 0.6528571428571428 and parameters: {'learning_rate': 0.00634702608599126, 'max_depth': 1, 'subsample': 0.7820367683839364, 'colsample_bytree': 0.6218997147653545, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 240 finished with value: 0.6652380952380953 and parameters: {'learning_rate': 0.004700111731489521, 'max_depth': 2, 'subsample': 0.9514762440845881, 'colsample_bytree': 0.5933237630598984, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 241 finished with value: 0.6677380952380952 and parameters: {'learning_rate': 0.004133568126859533, 'max_depth': 2, 'subsample': 0.9998173055520484, 'colsample_bytree': 0.49298158719863294, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 242 finished with value: 0.6699999999999999 and parameters: {'learning_rate': 0.004480818055331909, 'max_depth': 2, 'subsample': 0.979791003867627, 'colsample_bytree': 0.5348384417508728, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 243 finished with value: 0.6508333333333332 and parameters: {'learning_rate': 0.015143682748016273, 'max_depth': 2, 'subsample': 0.7048885744060249, 'colsample_bytree': 0.5098142137685013, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 244 finished with value: 0.6457142857142857 and parameters: {'learning_rate': 0.0053184785363334045, 'max_depth': 2, 'subsample': 0.9678766510346207, 'colsample_bytree': 0.55430593061503, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 245 finished with value: 0.6652380952380951 and parameters: {'learning_rate': 0.003899015712002332, 'max_depth': 2, 'subsample': 0.9847329389553698, 'colsample_bytree': 0.4785164816140855, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 246 finished with value: 0.6723809523809524 and parameters: {'learning_rate': 0.0048105850253194, 'max_depth': 2, 'subsample': 0.9988796758788299, 'colsample_bytree': 0.5278815163233664, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 247 finished with value: 0.6675 and parameters: {'learning_rate': 0.004766355808355702, 'max_depth': 2, 'subsample': 0.999910220855932, 'colsample_bytree': 0.5308634560799141, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 248 finished with value: 0.6457142857142857 and parameters: {'learning_rate': 0.005577086222866584, 'max_depth': 2, 'subsample': 0.9655708991127276, 'colsample_bytree': 0.5723086389072869, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 249 finished with value: 0.6629761904761903 and parameters: {'learning_rate': 0.0060226383730116574, 'max_depth': 2, 'subsample': 0.9446658614376932, 'colsample_bytree': 0.5102848798631576, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 250 finished with value: 0.6482142857142856 and parameters: {'learning_rate': 0.004931049218887136, 'max_depth': 2, 'subsample': 0.9821603728814747, 'colsample_bytree': 0.5456518362521372, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 251 finished with value: 0.6461904761904762 and parameters: {'learning_rate': 0.005239454616951668, 'max_depth': 2, 'subsample': 0.6114045756594241, 'colsample_bytree': 0.591984355179468, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 252 finished with value: 0.6653571428571428 and parameters: {'learning_rate': 0.006653982715937144, 'max_depth': 2, 'subsample': 0.9600391917215114, 'colsample_bytree': 0.5618636587768159, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 253 finished with value: 0.6461904761904762 and parameters: {'learning_rate': 0.007534815861316453, 'max_depth': 2, 'subsample': 0.6708088905268796, 'colsample_bytree': 0.5211804895757932, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 254 finished with value: 0.6771428571428572 and parameters: {'learning_rate': 0.004591482115808566, 'max_depth': 2, 'subsample': 0.9834618345407375, 'colsample_bytree': 0.48956745196420154, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 255 finished with value: 0.6505952380952381 and parameters: {'learning_rate': 0.004695076689886659, 'max_depth': 2, 'subsample': 0.9377308397257194, 'colsample_bytree': 0.4923815866908657, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 256 finished with value: 0.6483333333333333 and parameters: {'learning_rate': 0.0056877635076023935, 'max_depth': 2, 'subsample': 0.8393981132332284, 'colsample_bytree': 0.5343097860439752, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 257 finished with value: 0.6747619047619048 and parameters: {'learning_rate': 0.005136936340667673, 'max_depth': 2, 'subsample': 0.9709957320968067, 'colsample_bytree': 0.5045641437630636, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 258 finished with value: 0.6263095238095238 and parameters: {'learning_rate': 0.004409699758128692, 'max_depth': 1, 'subsample': 0.6534019871261382, 'colsample_bytree': 0.4776045419621282, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 259 finished with value: 0.6723809523809524 and parameters: {'learning_rate': 0.0050622732425609955, 'max_depth': 2, 'subsample': 0.9663677660664344, 'colsample_bytree': 0.5200692437096658, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 260 finished with value: 0.6604761904761904 and parameters: {'learning_rate': 0.005078926239170938, 'max_depth': 2, 'subsample': 0.9283981606471523, 'colsample_bytree': 0.523537899975493, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 261 finished with value: 0.6507142857142857 and parameters: {'learning_rate': 0.00608824756003252, 'max_depth': 2, 'subsample': 0.8083206684296527, 'colsample_bytree': 0.5024387749518443, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 262 finished with value: 0.6676190476190477 and parameters: {'learning_rate': 0.004940029463426144, 'max_depth': 2, 'subsample': 0.9533959982374027, 'colsample_bytree': 0.5444541918386215, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 263 finished with value: 0.6432142857142855 and parameters: {'learning_rate': 0.008458891102740349, 'max_depth': 2, 'subsample': 0.9695650799202165, 'colsample_bytree': 0.5134863776407924, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 264 finished with value: 0.6628571428571428 and parameters: {'learning_rate': 0.005326134795372783, 'max_depth': 2, 'subsample': 0.9436252389238049, 'colsample_bytree': 0.48866563897993637, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 265 finished with value: 0.6289285714285714 and parameters: {'learning_rate': 0.0069764074361219576, 'max_depth': 2, 'subsample': 0.7661213635986261, 'colsample_bytree': 0.5625118143016156, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 266 finished with value: 0.6723809523809524 and parameters: {'learning_rate': 0.004615192104723126, 'max_depth': 2, 'subsample': 0.9661995962756718, 'colsample_bytree': 0.5314679976447896, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 267 finished with value: 0.6652380952380952 and parameters: {'learning_rate': 0.004452691965957894, 'max_depth': 2, 'subsample': 0.9586562364506312, 'colsample_bytree': 0.5380890900574681, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 268 finished with value: 0.5972619047619048 and parameters: {'learning_rate': 0.004648336951351494, 'max_depth': 2, 'subsample': 0.9250585017701144, 'colsample_bytree': 0.579223222998565, 'min_child_weight': 12}. Best is trial 182 with value: 0.6771428571428572.
Trial 269 finished with value: 0.638452380952381 and parameters: {'learning_rate': 0.004060243173128282, 'max_depth': 2, 'subsample': 0.5377057222436269, 'colsample_bytree': 0.5257206042886877, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 270 finished with value: 0.6438095238095238 and parameters: {'learning_rate': 0.005860359739507155, 'max_depth': 2, 'subsample': 0.7280787458608277, 'colsample_bytree': 0.5520775559851611, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 271 finished with value: 0.6699999999999999 and parameters: {'learning_rate': 0.005023436601868054, 'max_depth': 2, 'subsample': 0.9665638858163408, 'colsample_bytree': 0.6108928322538845, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 272 finished with value: 0.6383333333333333 and parameters: {'learning_rate': 0.0063827146096068375, 'max_depth': 2, 'subsample': 0.9788321148660476, 'colsample_bytree': 0.4881383943153579, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 273 finished with value: 0.6190476190476191 and parameters: {'learning_rate': 0.00466362777044912, 'max_depth': 1, 'subsample': 0.9450853300798638, 'colsample_bytree': 0.5265015801057598, 'min_child_weight': 11}. Best is trial 182 with value: 0.6771428571428572.
Trial 274 finished with value: 0.6748809523809524 and parameters: {'learning_rate': 0.005529279316989631, 'max_depth': 2, 'subsample': 0.9714012720330819, 'colsample_bytree': 0.46970328208402573, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 275 finished with value: 0.6701190476190475 and parameters: {'learning_rate': 0.005502270180612629, 'max_depth': 2, 'subsample': 0.9643024670318697, 'colsample_bytree': 0.5644205648768617, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 276 finished with value: 0.6116666666666666 and parameters: {'learning_rate': 0.0371584619771711, 'max_depth': 2, 'subsample': 0.9426864479764628, 'colsample_bytree': 0.4744016560100039, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 277 finished with value: 0.6015476190476191 and parameters: {'learning_rate': 0.08713035762957523, 'max_depth': 2, 'subsample': 0.5864907749670901, 'colsample_bytree': 0.5848191400580959, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 278 finished with value: 0.6652380952380951 and parameters: {'learning_rate': 0.006071705926949768, 'max_depth': 2, 'subsample': 0.9231591673249756, 'colsample_bytree': 0.6430826818821427, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 279 finished with value: 0.6339285714285713 and parameters: {'learning_rate': 0.00706205160674306, 'max_depth': 2, 'subsample': 0.7928686645149654, 'colsample_bytree': 0.5423444575765937, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 280 finished with value: 0.628452380952381 and parameters: {'learning_rate': 0.0053392531386460655, 'max_depth': 1, 'subsample': 0.9670132684524423, 'colsample_bytree': 0.46436272034086373, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 281 finished with value: 0.5823809523809524 and parameters: {'learning_rate': 0.004225467075509249, 'max_depth': 2, 'subsample': 0.1301707824848597, 'colsample_bytree': 0.4907216022550403, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 282 finished with value: 0.6580952380952381 and parameters: {'learning_rate': 0.003830871543069484, 'max_depth': 2, 'subsample': 0.7446203101399651, 'colsample_bytree': 0.9816632139032678, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 283 finished with value: 0.6359523809523809 and parameters: {'learning_rate': 0.005893917890365349, 'max_depth': 2, 'subsample': 0.9841587118184861, 'colsample_bytree': 0.5163142879766714, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 284 finished with value: 0.5607142857142857 and parameters: {'learning_rate': 0.005338215250866742, 'max_depth': 2, 'subsample': 0.4767550325311485, 'colsample_bytree': 0.5455585104044903, 'min_child_weight': 16}. Best is trial 182 with value: 0.6771428571428572.
Trial 285 finished with value: 0.6628571428571427 and parameters: {'learning_rate': 0.0065149929885233255, 'max_depth': 2, 'subsample': 0.9995167004386762, 'colsample_bytree': 0.4683353217204974, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 286 finished with value: 0.6047619047619047 and parameters: {'learning_rate': 0.004841310346225253, 'max_depth': 2, 'subsample': 0.9529525743901437, 'colsample_bytree': 0.5011688819801831, 'min_child_weight': 8}. Best is trial 182 with value: 0.6771428571428572.
Trial 287 finished with value: 0.6507142857142857 and parameters: {'learning_rate': 0.004430801514916284, 'max_depth': 2, 'subsample': 0.9791781347894869, 'colsample_bytree': 0.5283875379007319, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 288 finished with value: 0.6699999999999999 and parameters: {'learning_rate': 0.005606894283456421, 'max_depth': 2, 'subsample': 0.9331556824063654, 'colsample_bytree': 0.5634125384697307, 'min_child_weight': 1}. Best is trial 182 with value: 0.6771428571428572.
Trial 289 finished with value: 0.6652380952380953 and parameters: {'learning_rate': 0.0050967184158077295, 'max_depth': 2, 'subsample': 0.9125018600734359, 'colsample_bytree': 0.5098704504807257, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 290 finished with value: 0.6217857142857143 and parameters: {'learning_rate': 0.00596324962676802, 'max_depth': 2, 'subsample': 0.6351415425600737, 'colsample_bytree': 0.5374063234742791, 'min_child_weight': 4}. Best is trial 182 with value: 0.6771428571428572.
Trial 291 finished with value: 0.6090476190476191 and parameters: {'learning_rate': 0.004106147661563851, 'max_depth': 1, 'subsample': 0.9647321887681396, 'colsample_bytree': 0.49241824940535495, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 292 finished with value: 0.6698809523809524 and parameters: {'learning_rate': 0.004721740136613731, 'max_depth': 2, 'subsample': 0.985071978789866, 'colsample_bytree': 0.576287338859824, 'min_child_weight': 1}. Best is trial 182 with value: 0.6771428571428572.
Trial 293 finished with value: 0.6508333333333333 and parameters: {'learning_rate': 0.00532414003419952, 'max_depth': 2, 'subsample': 0.7639452771180476, 'colsample_bytree': 0.8570434581096643, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 294 finished with value: 0.6409523809523808 and parameters: {'learning_rate': 0.00813657538061912, 'max_depth': 2, 'subsample': 0.9995471303390946, 'colsample_bytree': 0.4697813485905347, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 295 finished with value: 0.5919047619047618 and parameters: {'learning_rate': 0.07049952147529384, 'max_depth': 2, 'subsample': 0.6256816822613768, 'colsample_bytree': 0.5240948260737336, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 296 finished with value: 0.6360714285714286 and parameters: {'learning_rate': 0.006323313096275968, 'max_depth': 2, 'subsample': 0.9507726188722138, 'colsample_bytree': 0.05290098391401943, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 297 finished with value: 0.6628571428571427 and parameters: {'learning_rate': 0.004516419810796762, 'max_depth': 2, 'subsample': 0.9651360267620012, 'colsample_bytree': 0.5524916063881163, 'min_child_weight': 1}. Best is trial 182 with value: 0.6771428571428572.
Trial 298 finished with value: 0.5874999999999999 and parameters: {'learning_rate': 0.008859031479275012, 'max_depth': 2, 'subsample': 0.2440860939292958, 'colsample_bytree': 0.5993681808201047, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 299 finished with value: 0.6676190476190476 and parameters: {'learning_rate': 0.009338997435876554, 'max_depth': 2, 'subsample': 0.9822666749975292, 'colsample_bytree': 0.4876759198481614, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 300 finished with value: 0.6241666666666668 and parameters: {'learning_rate': 0.0070569297341424595, 'max_depth': 2, 'subsample': 0.4611751526127902, 'colsample_bytree': 0.5134102877279465, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 301 finished with value: 0.6141666666666666 and parameters: {'learning_rate': 0.0038295284074372302, 'max_depth': 1, 'subsample': 0.8305537707729547, 'colsample_bytree': 0.5441071648459275, 'min_child_weight': 1}. Best is trial 182 with value: 0.6771428571428572.
Trial 302 finished with value: 0.6070238095238095 and parameters: {'learning_rate': 0.007468901890289723, 'max_depth': 2, 'subsample': 0.436919518828063, 'colsample_bytree': 0.5685936121643763, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 303 finished with value: 0.6603571428571429 and parameters: {'learning_rate': 0.004951559166047509, 'max_depth': 2, 'subsample': 0.8778574410422059, 'colsample_bytree': 0.5277669654189033, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 304 finished with value: 0.6459523809523808 and parameters: {'learning_rate': 0.011091874939186359, 'max_depth': 2, 'subsample': 0.6935702241887314, 'colsample_bytree': 0.49655943865400215, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 305 finished with value: 0.6434523809523809 and parameters: {'learning_rate': 0.005627092285661909, 'max_depth': 2, 'subsample': 0.9380352692824184, 'colsample_bytree': 0.47097142136644066, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
