A new study created in memory with name: no-name-9979e359-8e66-4d74-a292-d091b188a7d7
Start optimization.
Trial 0 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 1197, 'max_depth': 1422, 'min_samples_split': 2, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 0 with value: 0.5819047619047618.
Trial 250 finished with value: 0.5894047619047619 and parameters: {'n_estimators': 1886, 'max_depth': 1057, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 251 finished with value: 0.5747619047619048 and parameters: {'n_estimators': 1942, 'max_depth': 1846, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 252 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 631, 'max_depth': 664, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 253 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 420, 'max_depth': 463, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 254 finished with value: 0.589404761904762 and parameters: {'n_estimators': 887, 'max_depth': 1941, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 255 finished with value: 0.584404761904762 and parameters: {'n_estimators': 1070, 'max_depth': 623, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 256 finished with value: 0.5723809523809524 and parameters: {'n_estimators': 2046, 'max_depth': 2029, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 207 with value: 0.5991666666666667.
Trial 257 finished with value: 0.5595238095238095 and parameters: {'n_estimators': 818, 'max_depth': 1143, 'min_samples_split': 8, 'min_samples_leaf': 8, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 258 finished with value: 0.589404761904762 and parameters: {'n_estimators': 1999, 'max_depth': 1258, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 259 finished with value: 0.5698809523809525 and parameters: {'n_estimators': 692, 'max_depth': 1307, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 260 finished with value: 0.5772619047619048 and parameters: {'n_estimators': 1848, 'max_depth': 1901, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 261 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 735, 'max_depth': 1801, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 262 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 799, 'max_depth': 235, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 263 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 1964, 'max_depth': 1966, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 264 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1808, 'max_depth': 974, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 265 finished with value: 0.574404761904762 and parameters: {'n_estimators': 869, 'max_depth': 1167, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 266 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 1930, 'max_depth': 1226, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 267 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 1999, 'max_depth': 1089, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 268 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 952, 'max_depth': 1864, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 269 finished with value: 0.5769047619047619 and parameters: {'n_estimators': 1021, 'max_depth': 2016, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 270 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1467, 'max_depth': 1770, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 271 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 760, 'max_depth': 587, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 272 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 657, 'max_depth': 569, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 273 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 2016, 'max_depth': 1715, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 274 finished with value: 0.5842857142857144 and parameters: {'n_estimators': 2015, 'max_depth': 1801, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 207 with value: 0.5991666666666667.
Trial 275 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 2045, 'max_depth': 1734, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 276 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 324, 'max_depth': 438, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 277 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 1966, 'max_depth': 1724, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 278 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1902, 'max_depth': 1689, 'min_samples_split': 13, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 279 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 1992, 'max_depth': 1840, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 280 finished with value: 0.581547619047619 and parameters: {'n_estimators': 502, 'max_depth': 1904, 'min_samples_split': 10, 'min_samples_leaf': 6, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 281 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1945, 'max_depth': 1972, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 282 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 2046, 'max_depth': 1770, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 283 finished with value: 0.5747619047619048 and parameters: {'n_estimators': 576, 'max_depth': 911, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 284 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 2005, 'max_depth': 1820, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 285 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1523, 'max_depth': 1938, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 286 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 1903, 'max_depth': 839, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 287 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1979, 'max_depth': 1872, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 288 finished with value: 0.591904761904762 and parameters: {'n_estimators': 1105, 'max_depth': 2000, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 289 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1012, 'max_depth': 1705, 'min_samples_split': 14, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 290 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 1089, 'max_depth': 2034, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 291 finished with value: 0.5942857142857143 and parameters: {'n_estimators': 1161, 'max_depth': 1294, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 292 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1098, 'max_depth': 1411, 'min_samples_split': 4, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 293 finished with value: 0.5967857142857143 and parameters: {'n_estimators': 1121, 'max_depth': 1310, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 294 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 1193, 'max_depth': 1327, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 207 with value: 0.5991666666666667.
Trial 295 finished with value: 0.5967857142857144 and parameters: {'n_estimators': 1113, 'max_depth': 1371, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 296 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1122, 'max_depth': 1384, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 297 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 1141, 'max_depth': 1299, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 298 finished with value: 0.5942857142857143 and parameters: {'n_estimators': 1166, 'max_depth': 1352, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 299 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1177, 'max_depth': 1376, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 300 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 1239, 'max_depth': 1327, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 301 finished with value: 0.5991666666666666 and parameters: {'n_estimators': 1156, 'max_depth': 1460, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 302 finished with value: 0.5945238095238096 and parameters: {'n_estimators': 1122, 'max_depth': 1492, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 303 finished with value: 0.5822619047619049 and parameters: {'n_estimators': 1156, 'max_depth': 1431, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 304 finished with value: 0.5895238095238095 and parameters: {'n_estimators': 1058, 'max_depth': 1525, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 305 finished with value: 0.5846428571428572 and parameters: {'n_estimators': 1201, 'max_depth': 1498, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 306 finished with value: 0.5822619047619048 and parameters: {'n_estimators': 1153, 'max_depth': 1423, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 307 finished with value: 0.5892857142857142 and parameters: {'n_estimators': 1160, 'max_depth': 1344, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 308 finished with value: 0.6016666666666667 and parameters: {'n_estimators': 1117, 'max_depth': 1461, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 309 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1049, 'max_depth': 1488, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 310 finished with value: 0.5746428571428571 and parameters: {'n_estimators': 1119, 'max_depth': 1451, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 311 finished with value: 0.5967857142857143 and parameters: {'n_estimators': 1082, 'max_depth': 1456, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 312 finished with value: 0.5795238095238094 and parameters: {'n_estimators': 1086, 'max_depth': 1458, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 313 finished with value: 0.5797619047619047 and parameters: {'n_estimators': 1134, 'max_depth': 1390, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 314 finished with value: 0.5969047619047619 and parameters: {'n_estimators': 1062, 'max_depth': 1473, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 315 finished with value: 0.5721428571428572 and parameters: {'n_estimators': 1059, 'max_depth': 1483, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 308 with value: 0.6016666666666667.
Trial 316 finished with value: 0.5992857142857144 and parameters: {'n_estimators': 1041, 'max_depth': 1545, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 317 finished with value: 0.5921428571428572 and parameters: {'n_estimators': 1041, 'max_depth': 1529, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 318 finished with value: 0.5892857142857142 and parameters: {'n_estimators': 996, 'max_depth': 1546, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 319 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1049, 'max_depth': 1574, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 320 finished with value: 0.5994047619047619 and parameters: {'n_estimators': 1109, 'max_depth': 1508, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 321 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 1091, 'max_depth': 1522, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 322 finished with value: 0.5772619047619048 and parameters: {'n_estimators': 1185, 'max_depth': 1466, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 323 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 1123, 'max_depth': 1501, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 324 finished with value: 0.5920238095238095 and parameters: {'n_estimators': 1038, 'max_depth': 1426, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 325 finished with value: 0.5871428571428571 and parameters: {'n_estimators': 1228, 'max_depth': 1539, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 326 finished with value: 0.5941666666666666 and parameters: {'n_estimators': 1097, 'max_depth': 1589, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 327 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 1108, 'max_depth': 1366, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 328 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1144, 'max_depth': 1620, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 329 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1095, 'max_depth': 1470, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 330 finished with value: 0.5723809523809523 and parameters: {'n_estimators': 1179, 'max_depth': 1566, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 331 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 1079, 'max_depth': 1418, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 332 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1140, 'max_depth': 1483, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 333 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1003, 'max_depth': 1397, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 334 finished with value: 0.589404761904762 and parameters: {'n_estimators': 1198, 'max_depth': 1288, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 335 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 1123, 'max_depth': 1361, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 336 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1241, 'max_depth': 1502, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 337 finished with value: 0.589404761904762 and parameters: {'n_estimators': 1068, 'max_depth': 1438, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 338 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 1030, 'max_depth': 1304, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 339 finished with value: 0.5770238095238096 and parameters: {'n_estimators': 1170, 'max_depth': 1572, 'min_samples_split': 8, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 308 with value: 0.6016666666666667.
Trial 340 finished with value: 0.6015476190476191 and parameters: {'n_estimators': 1101, 'max_depth': 962, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 341 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1109, 'max_depth': 899, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 342 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 1059, 'max_depth': 1031, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 343 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1146, 'max_depth': 872, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 344 finished with value: 0.5822619047619046 and parameters: {'n_estimators': 1003, 'max_depth': 943, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 345 finished with value: 0.5991666666666667 and parameters: {'n_estimators': 970, 'max_depth': 1594, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 346 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 962, 'max_depth': 1601, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 347 finished with value: 0.5822619047619048 and parameters: {'n_estimators': 996, 'max_depth': 984, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 348 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 1082, 'max_depth': 1603, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 349 finished with value: 0.5797619047619048 and parameters: {'n_estimators': 963, 'max_depth': 1531, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 350 finished with value: 0.5745238095238097 and parameters: {'n_estimators': 1029, 'max_depth': 1402, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 351 finished with value: 0.5967857142857144 and parameters: {'n_estimators': 1211, 'max_depth': 1463, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 352 finished with value: 0.589404761904762 and parameters: {'n_estimators': 1206, 'max_depth': 1454, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 353 finished with value: 0.5823809523809524 and parameters: {'n_estimators': 1283, 'max_depth': 1472, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 354 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1163, 'max_depth': 1492, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 355 finished with value: 0.576904761904762 and parameters: {'n_estimators': 1120, 'max_depth': 1379, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 356 finished with value: 0.6016666666666667 and parameters: {'n_estimators': 1223, 'max_depth': 1420, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 357 finished with value: 0.5894047619047619 and parameters: {'n_estimators': 1246, 'max_depth': 1430, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 358 finished with value: 0.576904761904762 and parameters: {'n_estimators': 1207, 'max_depth': 1453, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'gini'}. Best is trial 308 with value: 0.6016666666666667.
Trial 359 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1164, 'max_depth': 967, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 360 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 1216, 'max_depth': 1351, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 361 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 184, 'max_depth': 1408, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 362 finished with value: 0.5870238095238096 and parameters: {'n_estimators': 1066, 'max_depth': 1531, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 363 finished with value: 0.5792857142857143 and parameters: {'n_estimators': 1260, 'max_depth': 1498, 'min_samples_split': 10, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 364 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 1139, 'max_depth': 1011, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 365 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 1111, 'max_depth': 1456, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 366 finished with value: 0.5895238095238096 and parameters: {'n_estimators': 1047, 'max_depth': 1371, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 367 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1180, 'max_depth': 1422, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 368 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 919, 'max_depth': 1637, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 369 finished with value: 0.576547619047619 and parameters: {'n_estimators': 980, 'max_depth': 936, 'min_samples_split': 11, 'min_samples_leaf': 7, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 370 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 261, 'max_depth': 1489, 'min_samples_split': 10, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 371 finished with value: 0.5896428571428571 and parameters: {'n_estimators': 1092, 'max_depth': 1334, 'min_samples_split': 9, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 372 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 1137, 'max_depth': 1392, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 373 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 1023, 'max_depth': 1553, 'min_samples_split': 9, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 308 with value: 0.6016666666666667.
Trial 374 finished with value: 0.6066666666666667 and parameters: {'n_estimators': 1213, 'max_depth': 1446, 'min_samples_split': 11, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 374 with value: 0.6066666666666667.
