A new study created in memory with name: no-name-17abffd7-4634-4ab1-a48d-2142b1ad262a
Start optimization.
Trial 0 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 203, 'criterion': 'gini', 'max_features': 362, 'min_samples_split': 7, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.5869047619047618.
Trial 256 finished with value: 0.584047619047619 and parameters: {'n_estimators': 418, 'criterion': 'log_loss', 'max_features': 69, 'min_samples_split': 16, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 257 finished with value: 0.5963095238095237 and parameters: {'n_estimators': 440, 'criterion': 'log_loss', 'max_features': 236, 'min_samples_split': 23, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 258 finished with value: 0.5960714285714285 and parameters: {'n_estimators': 229, 'criterion': 'entropy', 'max_features': 56, 'min_samples_split': 20, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 259 finished with value: 0.604047619047619 and parameters: {'n_estimators': 196, 'criterion': 'log_loss', 'max_features': 193, 'min_samples_split': 17, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 260 finished with value: 0.5816666666666667 and parameters: {'n_estimators': 196, 'criterion': 'log_loss', 'max_features': 202, 'min_samples_split': 17, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 261 finished with value: 0.6060714285714285 and parameters: {'n_estimators': 208, 'criterion': 'log_loss', 'max_features': 190, 'min_samples_split': 18, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 262 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 207, 'criterion': 'log_loss', 'max_features': 174, 'min_samples_split': 17, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 263 finished with value: 0.5841666666666666 and parameters: {'n_estimators': 219, 'criterion': 'entropy', 'max_features': 204, 'min_samples_split': 18, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 264 finished with value: 0.5772619047619048 and parameters: {'n_estimators': 190, 'criterion': 'log_loss', 'max_features': 213, 'min_samples_split': 16, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 265 finished with value: 0.606309523809524 and parameters: {'n_estimators': 198, 'criterion': 'log_loss', 'max_features': 190, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 266 finished with value: 0.5792857142857142 and parameters: {'n_estimators': 197, 'criterion': 'log_loss', 'max_features': 188, 'min_samples_split': 15, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 267 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 203, 'criterion': 'log_loss', 'max_features': 192, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 268 finished with value: 0.5869047619047617 and parameters: {'n_estimators': 186, 'criterion': 'log_loss', 'max_features': 168, 'min_samples_split': 16, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 269 finished with value: 0.6039285714285715 and parameters: {'n_estimators': 211, 'criterion': 'entropy', 'max_features': 158, 'min_samples_split': 31, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 270 finished with value: 0.5891666666666667 and parameters: {'n_estimators': 203, 'criterion': 'log_loss', 'max_features': 169, 'min_samples_split': 33, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 271 finished with value: 0.5938095238095238 and parameters: {'n_estimators': 212, 'criterion': 'log_loss', 'max_features': 158, 'min_samples_split': 31, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 272 finished with value: 0.6013095238095237 and parameters: {'n_estimators': 207, 'criterion': 'log_loss', 'max_features': 181, 'min_samples_split': 28, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 273 finished with value: 0.5889285714285715 and parameters: {'n_estimators': 222, 'criterion': 'log_loss', 'max_features': 72, 'min_samples_split': 30, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 274 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 198, 'criterion': 'log_loss', 'max_features': 88, 'min_samples_split': 25, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 275 finished with value: 0.5961904761904762 and parameters: {'n_estimators': 209, 'criterion': 'entropy', 'max_features': 158, 'min_samples_split': 26, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 276 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 215, 'criterion': 'log_loss', 'max_features': 146, 'min_samples_split': 29, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 277 finished with value: 0.5917857142857141 and parameters: {'n_estimators': 388, 'criterion': 'log_loss', 'max_features': 80, 'min_samples_split': 35, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 278 finished with value: 0.5717857142857145 and parameters: {'n_estimators': 181, 'criterion': 'log_loss', 'max_features': 62, 'min_samples_split': 12, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 279 finished with value: 0.6014285714285713 and parameters: {'n_estimators': 402, 'criterion': 'log_loss', 'max_features': 283, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 280 finished with value: 0.5767857142857145 and parameters: {'n_estimators': 243, 'criterion': 'entropy', 'max_features': 193, 'min_samples_split': 22, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 281 finished with value: 0.591547619047619 and parameters: {'n_estimators': 191, 'criterion': 'log_loss', 'max_features': 108, 'min_samples_split': 25, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 282 finished with value: 0.6016666666666667 and parameters: {'n_estimators': 237, 'criterion': 'log_loss', 'max_features': 91, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 283 finished with value: 0.6089285714285714 and parameters: {'n_estimators': 259, 'criterion': 'log_loss', 'max_features': 91, 'min_samples_split': 9, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 284 finished with value: 0.591547619047619 and parameters: {'n_estimators': 256, 'criterion': 'log_loss', 'max_features': 93, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 285 finished with value: 0.5936904761904762 and parameters: {'n_estimators': 240, 'criterion': 'log_loss', 'max_features': 103, 'min_samples_split': 13, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 286 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 267, 'criterion': 'entropy', 'max_features': 90, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 287 finished with value: 0.5942857142857143 and parameters: {'n_estimators': 234, 'criterion': 'log_loss', 'max_features': 99, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 288 finished with value: 0.5919047619047618 and parameters: {'n_estimators': 281, 'criterion': 'log_loss', 'max_features': 163, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 289 finished with value: 0.5941666666666666 and parameters: {'n_estimators': 248, 'criterion': 'log_loss', 'max_features': 174, 'min_samples_split': 4, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 290 finished with value: 0.5816666666666668 and parameters: {'n_estimators': 214, 'criterion': 'log_loss', 'max_features': 86, 'min_samples_split': 5, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 291 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 228, 'criterion': 'entropy', 'max_features': 76, 'min_samples_split': 12, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 292 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 277, 'criterion': 'log_loss', 'max_features': 182, 'min_samples_split': 10, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 293 finished with value: 0.5792857142857144 and parameters: {'n_estimators': 268, 'criterion': 'log_loss', 'max_features': 91, 'min_samples_split': 7, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 294 finished with value: 0.5864285714285713 and parameters: {'n_estimators': 222, 'criterion': 'log_loss', 'max_features': 108, 'min_samples_split': 36, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 295 finished with value: 0.5888095238095238 and parameters: {'n_estimators': 200, 'criterion': 'log_loss', 'max_features': 413, 'min_samples_split': 59, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 296 finished with value: 0.5916666666666667 and parameters: {'n_estimators': 260, 'criterion': 'entropy', 'max_features': 146, 'min_samples_split': 14, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 297 finished with value: 0.606547619047619 and parameters: {'n_estimators': 236, 'criterion': 'log_loss', 'max_features': 53, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 298 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 230, 'criterion': 'log_loss', 'max_features': 62, 'min_samples_split': 8, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 299 finished with value: 0.591547619047619 and parameters: {'n_estimators': 255, 'criterion': 'log_loss', 'max_features': 54, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 300 finished with value: 0.5897619047619047 and parameters: {'n_estimators': 239, 'criterion': 'log_loss', 'max_features': 51, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 301 finished with value: 0.6014285714285714 and parameters: {'n_estimators': 222, 'criterion': 'log_loss', 'max_features': 57, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 302 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 213, 'criterion': 'entropy', 'max_features': 1046, 'min_samples_split': 6, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 303 finished with value: 0.5816666666666667 and parameters: {'n_estimators': 235, 'criterion': 'log_loss', 'max_features': 66, 'min_samples_split': 8, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 304 finished with value: 0.5945238095238095 and parameters: {'n_estimators': 208, 'criterion': 'log_loss', 'max_features': 55, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 305 finished with value: 0.5942857142857144 and parameters: {'n_estimators': 196, 'criterion': 'log_loss', 'max_features': 59, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 306 finished with value: 0.5864285714285715 and parameters: {'n_estimators': 250, 'criterion': 'log_loss', 'max_features': 95, 'min_samples_split': 13, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 307 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 244, 'criterion': 'entropy', 'max_features': 213, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 308 finished with value: 0.5991666666666665 and parameters: {'n_estimators': 203, 'criterion': 'log_loss', 'max_features': 153, 'min_samples_split': 32, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 309 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 226, 'criterion': 'log_loss', 'max_features': 52, 'min_samples_split': 5, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 310 finished with value: 0.5844047619047619 and parameters: {'n_estimators': 214, 'criterion': 'log_loss', 'max_features': 82, 'min_samples_split': 12, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 311 finished with value: 0.5920238095238096 and parameters: {'n_estimators': 346, 'criterion': 'log_loss', 'max_features': 102, 'min_samples_split': 7, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 312 finished with value: 0.599047619047619 and parameters: {'n_estimators': 426, 'criterion': 'log_loss', 'max_features': 195, 'min_samples_split': 28, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 313 finished with value: 0.5969047619047618 and parameters: {'n_estimators': 271, 'criterion': 'entropy', 'max_features': 72, 'min_samples_split': 15, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 314 finished with value: 0.5797619047619047 and parameters: {'n_estimators': 187, 'criterion': 'log_loss', 'max_features': 77, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 315 finished with value: 0.5888095238095239 and parameters: {'n_estimators': 196, 'criterion': 'log_loss', 'max_features': 117, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 316 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 371, 'criterion': 'log_loss', 'max_features': 86, 'min_samples_split': 14, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 317 finished with value: 0.5966666666666667 and parameters: {'n_estimators': 217, 'criterion': 'log_loss', 'max_features': 335, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 318 finished with value: 0.5916666666666667 and parameters: {'n_estimators': 411, 'criterion': 'entropy', 'max_features': 298, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 319 finished with value: 0.5941666666666666 and parameters: {'n_estimators': 259, 'criterion': 'log_loss', 'max_features': 512, 'min_samples_split': 33, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 320 finished with value: 0.5963095238095237 and parameters: {'n_estimators': 326, 'criterion': 'log_loss', 'max_features': 122, 'min_samples_split': 17, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 321 finished with value: 0.5917857142857141 and parameters: {'n_estimators': 208, 'criterion': 'log_loss', 'max_features': 168, 'min_samples_split': 27, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 322 finished with value: 0.5889285714285715 and parameters: {'n_estimators': 435, 'criterion': 'log_loss', 'max_features': 97, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 323 finished with value: 0.5769047619047618 and parameters: {'n_estimators': 176, 'criterion': 'entropy', 'max_features': 255, 'min_samples_split': 39, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 324 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 236, 'criterion': 'log_loss', 'max_features': 183, 'min_samples_split': 31, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 325 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 203, 'criterion': 'log_loss', 'max_features': 138, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 326 finished with value: 0.5916666666666667 and parameters: {'n_estimators': 469, 'criterion': 'log_loss', 'max_features': 156, 'min_samples_split': 13, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 327 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 286, 'criterion': 'log_loss', 'max_features': 50, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 328 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 193, 'criterion': 'entropy', 'max_features': 107, 'min_samples_split': 11, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 329 finished with value: 0.5814285714285713 and parameters: {'n_estimators': 246, 'criterion': 'log_loss', 'max_features': 59, 'min_samples_split': 24, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 330 finished with value: 0.6061904761904762 and parameters: {'n_estimators': 219, 'criterion': 'log_loss', 'max_features': 204, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 331 finished with value: 0.5936904761904762 and parameters: {'n_estimators': 226, 'criterion': 'log_loss', 'max_features': 182, 'min_samples_split': 17, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 332 finished with value: 0.5989285714285714 and parameters: {'n_estimators': 397, 'criterion': 'log_loss', 'max_features': 202, 'min_samples_split': 37, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 333 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 217, 'criterion': 'log_loss', 'max_features': 217, 'min_samples_split': 12, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 334 finished with value: 0.5888095238095238 and parameters: {'n_estimators': 359, 'criterion': 'entropy', 'max_features': 66, 'min_samples_split': 19, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 335 finished with value: 0.5966666666666667 and parameters: {'n_estimators': 234, 'criterion': 'log_loss', 'max_features': 193, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 336 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 412, 'criterion': 'gini', 'max_features': 79, 'min_samples_split': 7, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 337 finished with value: 0.579404761904762 and parameters: {'n_estimators': 221, 'criterion': 'log_loss', 'max_features': 88, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 338 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 435, 'criterion': 'log_loss', 'max_features': 209, 'min_samples_split': 6, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 339 finished with value: 0.5994047619047618 and parameters: {'n_estimators': 391, 'criterion': 'log_loss', 'max_features': 221, 'min_samples_split': 16, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 340 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 337, 'criterion': 'entropy', 'max_features': 70, 'min_samples_split': 18, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 341 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 265, 'criterion': 'log_loss', 'max_features': 359, 'min_samples_split': 30, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 342 finished with value: 0.5816666666666666 and parameters: {'n_estimators': 449, 'criterion': 'log_loss', 'max_features': 93, 'min_samples_split': 24, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 343 finished with value: 0.6039285714285714 and parameters: {'n_estimators': 422, 'criterion': 'log_loss', 'max_features': 298, 'min_samples_split': 34, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 344 finished with value: 0.6089285714285714 and parameters: {'n_estimators': 374, 'criterion': 'log_loss', 'max_features': 310, 'min_samples_split': 34, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 345 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 376, 'criterion': 'log_loss', 'max_features': 328, 'min_samples_split': 34, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 346 finished with value: 0.5892857142857142 and parameters: {'n_estimators': 210, 'criterion': 'entropy', 'max_features': 316, 'min_samples_split': 37, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 347 finished with value: 0.5986904761904761 and parameters: {'n_estimators': 290, 'criterion': 'log_loss', 'max_features': 299, 'min_samples_split': 35, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 348 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 109, 'criterion': 'log_loss', 'max_features': 98, 'min_samples_split': 40, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 349 finished with value: 0.5866666666666666 and parameters: {'n_estimators': 250, 'criterion': 'log_loss', 'max_features': 343, 'min_samples_split': 14, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 350 finished with value: 0.5939285714285714 and parameters: {'n_estimators': 231, 'criterion': 'log_loss', 'max_features': 267, 'min_samples_split': 46, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 351 finished with value: 0.5964285714285714 and parameters: {'n_estimators': 319, 'criterion': 'entropy', 'max_features': 298, 'min_samples_split': 33, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 352 finished with value: 0.5691666666666666 and parameters: {'n_estimators': 219, 'criterion': 'log_loss', 'max_features': 55, 'min_samples_split': 9, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 353 finished with value: 0.5816666666666667 and parameters: {'n_estimators': 464, 'criterion': 'log_loss', 'max_features': 103, 'min_samples_split': 16, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 354 finished with value: 0.596547619047619 and parameters: {'n_estimators': 408, 'criterion': 'log_loss', 'max_features': 191, 'min_samples_split': 12, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 355 finished with value: 0.596547619047619 and parameters: {'n_estimators': 279, 'criterion': 'log_loss', 'max_features': 173, 'min_samples_split': 13, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 356 finished with value: 0.5720238095238096 and parameters: {'n_estimators': 207, 'criterion': 'entropy', 'max_features': 659, 'min_samples_split': 30, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 357 finished with value: 0.5990476190476188 and parameters: {'n_estimators': 423, 'criterion': 'log_loss', 'max_features': 243, 'min_samples_split': 10, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 358 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 242, 'criterion': 'log_loss', 'max_features': 83, 'min_samples_split': 28, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 359 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 199, 'criterion': 'log_loss', 'max_features': 113, 'min_samples_split': 13, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 360 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 297, 'criterion': 'log_loss', 'max_features': 226, 'min_samples_split': 8, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 361 finished with value: 0.5941666666666665 and parameters: {'n_estimators': 263, 'criterion': 'log_loss', 'max_features': 202, 'min_samples_split': 41, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 362 finished with value: 0.5814285714285714 and parameters: {'n_estimators': 480, 'criterion': 'gini', 'max_features': 318, 'min_samples_split': 14, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 363 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 225, 'criterion': 'entropy', 'max_features': 90, 'min_samples_split': 17, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 364 finished with value: 0.5985714285714285 and parameters: {'n_estimators': 346, 'criterion': 'log_loss', 'max_features': 64, 'min_samples_split': 75, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 365 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 398, 'criterion': 'log_loss', 'max_features': 381, 'min_samples_split': 15, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 366 finished with value: 0.584047619047619 and parameters: {'n_estimators': 191, 'criterion': 'log_loss', 'max_features': 50, 'min_samples_split': 32, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 367 finished with value: 0.6039285714285713 and parameters: {'n_estimators': 388, 'criterion': 'log_loss', 'max_features': 147, 'min_samples_split': 37, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 368 finished with value: 0.5964285714285714 and parameters: {'n_estimators': 386, 'criterion': 'entropy', 'max_features': 167, 'min_samples_split': 37, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 369 finished with value: 0.586547619047619 and parameters: {'n_estimators': 373, 'criterion': 'log_loss', 'max_features': 272, 'min_samples_split': 37, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 370 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 385, 'criterion': 'log_loss', 'max_features': 147, 'min_samples_split': 34, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 371 finished with value: 0.5841666666666666 and parameters: {'n_estimators': 361, 'criterion': 'log_loss', 'max_features': 59, 'min_samples_split': 44, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 372 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 417, 'criterion': 'log_loss', 'max_features': 53, 'min_samples_split': 38, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 373 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 400, 'criterion': 'entropy', 'max_features': 156, 'min_samples_split': 7, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 374 finished with value: 0.6014285714285714 and parameters: {'n_estimators': 443, 'criterion': 'log_loss', 'max_features': 253, 'min_samples_split': 27, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 375 finished with value: 0.5794047619047618 and parameters: {'n_estimators': 255, 'criterion': 'log_loss', 'max_features': 74, 'min_samples_split': 19, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 376 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 331, 'criterion': 'log_loss', 'max_features': 142, 'min_samples_split': 40, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 377 finished with value: 0.5722619047619046 and parameters: {'n_estimators': 461, 'criterion': 'log_loss', 'max_features': 176, 'min_samples_split': 4, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 378 finished with value: 0.5861904761904763 and parameters: {'n_estimators': 408, 'criterion': 'log_loss', 'max_features': 291, 'min_samples_split': 35, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 379 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 369, 'criterion': 'entropy', 'max_features': 86, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 380 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 271, 'criterion': 'log_loss', 'max_features': 308, 'min_samples_split': 31, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 381 finished with value: 0.5965476190476189 and parameters: {'n_estimators': 238, 'criterion': 'log_loss', 'max_features': 79, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 382 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 213, 'criterion': 'log_loss', 'max_features': 187, 'min_samples_split': 21, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 383 finished with value: 0.6010714285714285 and parameters: {'n_estimators': 432, 'criterion': 'log_loss', 'max_features': 237, 'min_samples_split': 26, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
